sa_2022_code,town_name,town_name_alt,county,method,distance_km
027038001/027047001,Swanlinbar,,Cavan,nearest_settlement,11.08
027039001,Killeshandra,,Cavan,nearest_settlement,3.84
027040001,Killeshandra,,Cavan,nearest_settlement,6.15
027041001,Blacklion,,Cavan,nearest_settlement,12.56
027042001,Bailieborough,,Cavan,nearest_settlement,7.69
027042002,Bailieborough,,Cavan,nearest_settlement,5.31
027043001,Ballinagh,,Cavan,nearest_settlement,4.8
027043002,Ballinagh,,Cavan,nearest_settlement,2.62
027044001,Ballyhaise,,Cavan,nearest_settlement,3.98
027044002,Ballyhaise,,Cavan,nearest_settlement,6.86
027045001,Loch Gowna,,Cavan,nearest_settlement,6.93
027045002,Loch Gowna,,Cavan,nearest_settlement,6.61
027045003,Kilnaleck,,Cavan,nearest_settlement,5.89
027046001,Ballyhaise,,Cavan,nearest_settlement,5.23
027046002,Ballyhaise,,Cavan,nearest_settlement,5.64
027048001,Kingscourt,,Cavan,nearest_settlement,5.28
027048002,Kingscourt,,Cavan,nearest_settlement,5.21
027049001,Blacklion,,Cavan,nearest_settlement,4.44
027050001,Kilnaleck,,Cavan,nearest_settlement,4.87
027050002,Ballyjamesduff,,Cavan,nearest_settlement,3.77
027051001,Belturbet,,Cavan,nearest_settlement,3.43
027051002,Belturbet,,Cavan,nearest_settlement,1.77
027052001,Ballyjamesduff,,Cavan,nearest_settlement,7.14
027052002,Ballyjamesduff,,Cavan,nearest_settlement,8.76
027052003,Ballyjamesduff,,Cavan,nearest_settlement,5.88
027052004,Kilnaleck,,Cavan,nearest_settlement,5.32
027052005,Kilnaleck,,Cavan,nearest_settlement,7.59
027053001,Kilnaleck,,Cavan,nearest_settlement,8.05
027053002,Loch Gowna,,Cavan,nearest_settlement,7.2
027054001/027054003,Belturbet,,Cavan,nearest_settlement,3.28
027054002,Belturbet,,Cavan,nearest_settlement,2.15
027055001,Kilnaleck,,Cavan,nearest_settlement,8.17
027056001,Kilnaleck,,Cavan,nearest_settlement,2.97
027056002,Kilnaleck,,Cavan,nearest_settlement,4.65
027057001,Killeshandra,,Cavan,nearest_settlement,2.6
027057002,Killeshandra,,Cavan,nearest_settlement,1.89
027057003/027057005,Killeshandra,,Cavan,nearest_settlement,1.16
027057004,Killeshandra,,Cavan,nearest_settlement,1.33
027057006,Killeshandra,,Cavan,within_settlement,0.0
027058001/027085001,Blacklion,,Cavan,nearest_settlement,9.47
027059001,Virginia,,Cavan,nearest_settlement,5.27
027059002,Bailieborough,,Cavan,nearest_settlement,7.02
027060001,Killeshandra,,Cavan,nearest_settlement,4.74
027060002,Ballinagh,,Cavan,nearest_settlement,3.72
027060003,Cavan,,Cavan,nearest_settlement,4.46
027061001,Ballyjamesduff,,Cavan,nearest_settlement,3.86
027061002,Kilnaleck,,Cavan,nearest_settlement,1.56
027061003,Kilnaleck,,Cavan,within_settlement,0.14
027061004,Kilnaleck,,Cavan,within_settlement,0.14
