sa_2022_code,d_nursing_km,d_homecare_km,d_fci_km,d_nearest_km,support_nearby,nearest_type,nearest_loc,pr_distance,isolation,vulnerability,service_desert
217171001/02,8.16,13.35,30.43,13.35,3,homecare,county,65.57,42.68,47.03,30.84
217171002,9.13,14.34,29.45,14.34,3,homecare,county,68.3,36.15,44.08,30.11
217172001,15.05,9.84,40.01,9.84,3,homecare,county,57.29,43.45,53.27,30.52
217173001,3.22,27.17,50.26,27.17,0,homecare,town,90.35,45.92,54.76,49.48
217174001,6.46,31.22,31.22,31.22,0,homecare,town,94.06,52.88,47.98,45.13
217174002,6.86,31.58,31.58,31.58,0,homecare,town,94.31,65.36,44.67,42.13
217174003,6.4,33.14,33.14,33.14,0,homecare,town,95.23,55.98,36.98,35.22
217175001,8.84,12.22,11.44,11.44,2,fci,town,60.75,58.73,67.53,41.02
217175002,8.68,12.56,11.78,11.78,2,fci,town,61.36,64.47,66.46,40.78
217175003,9.07,12.63,11.82,11.82,2,fci,town,61.48,68.27,72.31,44.46
217175004,8.82,12.74,11.95,11.95,2,fci,town,61.75,74.38,86.78,53.59
217176001,0.28,0.65,0.27,0.27,3,fci,town,0.93,37.15,52.77,0.49
217176002,0.68,0.8,0.63,0.63,3,fci,town,4.5,47.67,64.44,2.9
217176003,0.56,1.12,0.48,0.48,3,fci,town,2.81,31.71,57.02,1.6
217176004,0.83,1.35,0.75,0.75,3,fci,town,6.09,28.77,53.66,3.27
217176005,0.74,1.07,0.66,0.66,3,fci,town,4.98,36.1,53.03,2.64
217176006,0.73,0.63,1.26,0.63,3,homecare,town,4.47,38.78,56.35,2.52
217176007,1.47,1.53,1.4,1.4,3,fci,town,16.38,34.15,45.91,7.52
217176008,1.56,2.01,1.48,1.48,3,fci,town,17.66,10.94,43.3,7.65
217176009,1.17,1.67,1.08,1.08,3,fci,town,11.1,14.38,37.62,4.18
217176010,0.72,1.46,0.65,0.65,3,fci,town,4.8,35.41,29.79,1.43
217176011,0.3,0.94,0.22,0.22,3,fci,town,0.63,40.81,31.76,0.2
217176012,0.53,0.32,1.02,0.32,3,homecare,town,1.27,48.19,35.56,0.45
217176013,0.77,0.49,0.92,0.49,3,homecare,town,2.93,47.6,41.08,1.2
217176014,0.97,0.72,0.94,0.72,3,homecare,town,5.69,49.48,40.98,2.33
217176015,1.15,1.31,1.08,1.08,3,fci,town,10.97,50.49,48.56,5.33
217176016,1.01,1.38,0.94,0.94,3,fci,town,8.87,44.62,53.35,4.73
217176017,0.65,0.55,0.63,0.55,3,homecare,town,3.53,46.77,69.48,2.45
217176018,0.72,0.38,0.72,0.38,3,homecare,town,1.83,46.73,50.54,0.92
217177001,1.16,28.79,37.59,28.79,0,homecare,county,92.02,78.79,42.97,39.54
217177002,1.48,28.94,37.87,28.94,0,homecare,county,92.17,67.92,43.98,40.54
217177003,1.69,29.36,37.75,29.36,0,homecare,county,92.64,62.73,61.84,57.29
217177004,0.24,28.08,36.96,28.08,0,homecare,county,91.21,91.38,65.62,59.85
217177005,0.95,27.56,37.56,27.56,0,homecare,county,90.78,87.69,71.64,65.03
217177006,0.85,27.66,36.11,27.66,0,homecare,county,90.87,86.58,68.5,62.25
